x, y, vx, vy, paddle_y
403, 303, 3, 3, 22
406, 306, 3, 3, 22
409, 309, 3, 3, 22
412, 312, 3, 3, 22
415, 315, 3, 3, 22
418, 318, 3, 3, 22
421, 321, 3, 3, 22
424, 324, 3, 3, 22
427, 327, 3, 3, 22
430, 330, 3, 3, 22
433, 333, 3, 3, 22
436, 336, 3, 3, 22
439, 339, 3, 3, 22
442, 342, 3, 3, 22
445, 345, 3, 3, 22
448, 348, 3, 3, 22
451, 351, 3, 3, 22
454, 354, 3, 3, 22
457, 357, 3, 3, 22
460, 360, 3, 3, 22
463, 363, 3, 3, 22
466, 366, 3, 3, 22
469, 369, 3, 3, 22
472, 372, 3, 3, 22
475, 375, 3, 3, 22
478, 378, 3, 3, 22
481, 381, 3, 3, 22
484, 384, 3, 3, 22
487, 387, 3, 3, 22
490, 390, 3, 3, 22
493, 393, 3, 3, 22
496, 396, 3, 3, 22
499, 399, 3, 3, 22
502, 402, 3, 3, 22
505, 405, 3, 3, 22
508, 408, 3, 3, 22
511, 411, 3, 3, 22
514, 414, 3, 3, 22
517, 417, 3, 3, 22
520, 420, 3, 3, 22
523, 423, 3, 3, 22
526, 426, 3, 3, 22
529, 429, 3, 3, 22
532, 432, 3, 3, 22
535, 435, 3, 3, 22
538, 438, 3, 3, 22
541, 441, 3, 3, 22
544, 444, 3, 3, 22
547, 447, 3, 3, 22
550, 450, 3, 3, 22
553, 453, 3, 3, 22
556, 456, 3, 3, 22
559, 459, 3, 3, 22
562, 462, 3, 3, 22
565, 465, 3, 3, 22
568, 468, 3, 3, 22
571, 471, 3, 3, 22
574, 474, 3, 3, 22
577, 477, 3, 3, 22
580, 480, 3, 3, 22
583, 483, 3, 3, 22
586, 486, 3, 3, 22
589, 489, 3, 3, 22
592, 492, 3, 3, 22
595, 495, 3, 3, 22
598, 498, 3, 3, 22
601, 501, 3, 3, 22
604, 504, 3, 3, 22
607, 507, 3, 3, 22
610, 510, 3, 3, 22
613, 513, 3, 3, 22
616, 516, 3, 3, 22
619, 519, 3, 3, 22
622, 522, 3, 3, 22
625, 525, 3, 3, 22
628, 528, 3, 3, 22
631, 531, 3, 3, 22
634, 534, 3, 3, 22
637, 537, 3, 3, 22
640, 540, 3, 3, 22
643, 543, 3, 3, 22
646, 546, 3, 3, 22
649, 549, 3, 3, 22
652, 552, 3, 3, 22
655, 555, 3, 3, 22
658, 558, 3, 3, 22
661, 561, 3, 3, 22
664, 564, 3, 3, 22
667, 567, 3, 3, 22
670, 570, 3, 3, 22
673, 573, 3, 3, 22
676, 576, 3, 3, 22
679, 579, 3, 3, 22
682, 582, 3, 3, 22
685, 579, 3, -3, 22
688, 576, 3, -3, 22
691, 573, 3, -3, 22
694, 570, 3, -3, 22
697, 567, 3, -3, 22
700, 564, 3, -3, 22
703, 561, 3, -3, 22
706, 558, 3, -3, 22
709, 555, 3, -3, 22
712, 552, 3, -3, 22
715, 549, 3, -3, 22
718, 546, 3, -3, 22
721, 543, 3, -3, 22
724, 540, 3, -3, 22
727, 537, 3, -3, 22
730, 534, 3, -3, 22
733, 531, 3, -3, 22
736, 528, 3, -3, 22
739, 525, 3, -3, 22
742, 522, 3, -3, 22
745, 519, 3, -3, 22
748, 516, 3, -3, 22
751, 513, 3, -3, 22
754, 510, 3, -3, 22
757, 507, 3, -3, 22
760, 504, 3, -3, 22
763, 501, 3, -3, 22
766, 498, 3, -3, 22
769, 495, 3, -3, 22
772, 492, 3, -3, 22
775, 489, 3, -3, 22
778, 486, 3, -3, 22
781, 483, 3, -3, 22
778, 480, -3, -3, 22
775, 477, -3, -3, 22
772, 474, -3, -3, 22
769, 471, -3, -3, 22
766, 468, -3, -3, 22
763, 465, -3, -3, 22
760, 462, -3, -3, 22
757, 459, -3, -3, 22
754, 456, -3, -3, 22
751, 453, -3, -3, 22
748, 450, -3, -3, 22
745, 447, -3, -3, 22
742, 444, -3, -3, 22
739, 441, -3, -3, 22
736, 438, -3, -3, 22
733, 435, -3, -3, 22
730, 432, -3, -3, 22
727, 429, -3, -3, 22
724, 426, -3, -3, 22
721, 423, -3, -3, 22
718, 420, -3, -3, 22
715, 417, -3, -3, 22
712, 414, -3, -3, 22
709, 411, -3, -3, 22
706, 408, -3, -3, 22
703, 405, -3, -3, 22
700, 402, -3, -3, 22
697, 399, -3, -3, 22
694, 396, -3, -3, 22
691, 393, -3, -3, 540
688, 390, -3, -3, 540
685, 387, -3, -3, 540
682, 384, -3, -3, 540
679, 381, -3, -3, 540
676, 378, -3, -3, 540
673, 375, -3, -3, 540
670, 372, -3, -3, 540
667, 369, -3, -3, 540
664, 366, -3, -3, 540
661, 363, -3, -3, 540
658, 360, -3, -3, 540
655, 357, -3, -3, 540
652, 354, -3, -3, 540
649, 351, -3, -3, 540
646, 348, -3, -3, 540
643, 345, -3, -3, 540
640, 342, -3, -3, 540
637, 339, -3, -3, 540
634, 336, -3, -3, 540
631, 333, -3, -3, 540
628, 330, -3, -3, 540
625, 327, -3, -3, 540
622, 324, -3, -3, 535
619, 321, -3, -3, 483
616, 318, -3, -3, 418
613, 315, -3, -3, 386
610, 312, -3, -3, 360
607, 309, -3, -3, 340
604, 306, -3, -3, 326
601, 303, -3, -3, 311
598, 300, -3, -3, 296
595, 297, -3, -3, 282
592, 294, -3, -3, 270
589, 291, -3, -3, 260
586, 288, -3, -3, 246
583, 285, -3, -3, 240
580, 282, -3, -3, 236
577, 279, -3, -3, 234
574, 276, -3, -3, 233
571, 273, -3, -3, 233
568, 270, -3, -3, 232
565, 267, -3, -3, 230
562, 264, -3, -3, 227
559, 261, -3, -3, 224
556, 258, -3, -3, 219
553, 255, -3, -3, 214
550, 252, -3, -3, 208
547, 249, -3, -3, 203
544, 246, -3, -3, 199
541, 243, -3, -3, 199
538, 240, -3, -3, 198
535, 237, -3, -3, 198
532, 234, -3, -3, 198
529, 231, -3, -3, 196
526, 228, -3, -3, 195
523, 225, -3, -3, 194
520, 222, -3, -3, 193
517, 219, -3, -3, 192
514, 216, -3, -3, 191
511, 213, -3, -3, 191
508, 210, -3, -3, 190
505, 207, -3, -3, 190
502, 204, -3, -3, 190
499, 201, -3, -3, 190
496, 198, -3, -3, 190
493, 195, -3, -3, 190
490, 192, -3, -3, 190
487, 189, -3, -3, 190
484, 186, -3, -3, 190
481, 183, -3, -3, 190
478, 180, -3, -3, 190
475, 177, -3, -3, 190
472, 174, -3, -3, 190
469, 171, -3, -3, 190
466, 168, -3, -3, 190
463, 165, -3, -3, 190
460, 162, -3, -3, 190
457, 159, -3, -3, 190
454, 156, -3, -3, 190
451, 153, -3, -3, 190
448, 150, -3, -3, 190
445, 147, -3, -3, 190
442, 144, -3, -3, 190
439, 141, -3, -3, 190
436, 138, -3, -3, 190
433, 135, -3, -3, 190
430, 132, -3, -3, 190
427, 129, -3, -3, 190
424, 126, -3, -3, 190
421, 123, -3, -3, 190
418, 120, -3, -3, 190
415, 117, -3, -3, 191
412, 114, -3, -3, 191
409, 111, -3, -3, 192
406, 108, -3, -3, 193
403, 105, -3, -3, 194
400, 102, -3, -3, 194
397, 99, -3, -3, 194
394, 96, -3, -3, 195
391, 93, -3, -3, 195
388, 90, -3, -3, 195
385, 87, -3, -3, 195
382, 84, -3, -3, 195
379, 81, -3, -3, 195
376, 78, -3, -3, 195
373, 75, -3, -3, 196
370, 72, -3, -3, 198
367, 69, -3, -3, 198
364, 66, -3, -3, 198
361, 63, -3, -3, 199
358, 60, -3, -3, 199
355, 57, -3, -3, 199
352, 54, -3, -3, 199
349, 51, -3, -3, 198
346, 48, -3, -3, 195
343, 45, -3, -3, 192
340, 42, -3, -3, 187
337, 39, -3, -3, 181
334, 36, -3, -3, 178
331, 33, -3, -3, 174
328, 30, -3, -3, 172
325, 27, -3, -3, 169
322, 24, -3, -3, 165
319, 21, -3, -3, 159
316, 18, -3, -3, 155
313, 21, -3, 3, 153
310, 24, -3, 3, 150
307, 27, -3, 3, 148
304, 30, -3, 3, 146
301, 33, -3, 3, 144
298, 36, -3, 3, 143
295, 39, -3, 3, 141
292, 42, -3, 3, 140
289, 45, -3, 3, 138
286, 48, -3, 3, 137
283, 51, -3, 3, 135
280, 54, -3, 3, 132
277, 57, -3, 3, 129
274, 60, -3, 3, 125
271, 63, -3, 3, 123
268, 66, -3, 3, 122
265, 69, -3, 3, 122
262, 72, -3, 3, 122
259, 75, -3, 3, 121
256, 78, -3, 3, 121
253, 81, -3, 3, 121
250, 84, -3, 3, 121
247, 87, -3, 3, 121
244, 90, -3, 3, 122
241, 93, -3, 3, 124
238, 96, -3, 3, 125
235, 99, -3, 3, 127
232, 102, -3, 3, 128
229, 105, -3, 3, 129
226, 108, -3, 3, 131
223, 111, -3, 3, 132
220, 114, -3, 3, 133
217, 117, -3, 3, 135
214, 120, -3, 3, 136
211, 123, -3, 3, 138
208, 126, -3, 3, 140
205, 129, -3, 3, 143
202, 132, -3, 3, 144
199, 135, -3, 3, 147
196, 138, -3, 3, 149
193, 141, -3, 3, 151
190, 144, -3, 3, 154
187, 147, -3, 3, 157
184, 150, -3, 3, 159
181, 153, -3, 3, 163
178, 156, -3, 3, 166
175, 159, -3, 3, 170
172, 162, -3, 3, 173
169, 165, -3, 3, 177
166, 168, -3, 3, 181
163, 171, -3, 3, 184
160, 174, -3, 3, 189
157, 177, -3, 3, 193
154, 180, -3, 3, 199
151, 183, -3, 3, 202
148, 186, -3, 3, 206
145, 189, -3, 3, 211
142, 192, -3, 3, 216
139, 195, -3, 3, 220
136, 198, -3, 3, 224
133, 201, -3, 3, 228
130, 204, -3, 3, 231
127, 207, -3, 3, 236
124, 210, -3, 3, 239
121, 213, -3, 3, 242
118, 216, -3, 3, 245
115, 219, -3, 3, 246
112, 222, -3, 3, 248
109, 225, -3, 3, 250
106, 228, -3, 3, 252
103, 231, -3, 3, 254
100, 234, -3, 3, 257
97, 237, -3, 3, 260
94, 240, -3, 3, 261
91, 243, -3, 3, 263
88, 246, -3, 3, 265
85, 249, -3, 3, 266
82, 252, -3, 3, 267
79, 255, -3, 3, 268
76, 258, -3, 3, 268
73, 261, -3, 3, 270
70, 264, -3, 3, 271
67, 267, -3, 3, 272
64, 270, -3, 3, 274
61, 273, -3, 3, 275
58, 276, -3, 3, 276
55, 279, -3, 3, 278
52, 282, -3, 3, 281
49, 285, -3, 3, 284
46, 288, -3, 3, 288
43, 291, -3, 3, 290
40, 294, -3, 3, 291
37, 297, -3, 3, 291
34, 300, -3, 3, 291
31, 303, -3, 3, 292
28, 306, -3, 3, 292
25, 309, -3, 3, 294
22, 312, -3, 3, 296
19, 315, -3, 3, 299
16, 318, -3, 3, 302
13, 321, -3, 3, 306
10, 324, -3, 3, 309
7, 327, -3, 3, 310
4, 330, -3, 3, 311
1, 333, -3, 3, 311
-2, 336, -3, 3, 311
403, 303, 3, 3, 311
406, 306, 3, 3, 311
409, 309, 3, 3, 311
412, 312, 3, 3, 311
415, 315, 3, 3, 311
418, 318, 3, 3, 311
421, 321, 3, 3, 311
424, 324, 3, 3, 311
427, 327, 3, 3, 311
430, 330, 3, 3, 311
433, 333, 3, 3, 312
436, 336, 3, 3, 312
439, 339, 3, 3, 312
442, 342, 3, 3, 312
445, 345, 3, 3, 312
448, 348, 3, 3, 312
451, 351, 3, 3, 312
454, 354, 3, 3, 312
457, 357, 3, 3, 312
460, 360, 3, 3, 312
463, 363, 3, 3, 312
466, 366, 3, 3, 312
469, 369, 3, 3, 312
472, 372, 3, 3, 312
475, 375, 3, 3, 312
478, 378, 3, 3, 312
481, 381, 3, 3, 312
484, 384, 3, 3, 312
487, 387, 3, 3, 312
490, 390, 3, 3, 312
493, 393, 3, 3, 312
496, 396, 3, 3, 312
499, 399, 3, 3, 312
502, 402, 3, 3, 312
505, 405, 3, 3, 312
508, 408, 3, 3, 312
511, 411, 3, 3, 312
514, 414, 3, 3, 312
517, 417, 3, 3, 312
520, 420, 3, 3, 312
523, 423, 3, 3, 312
526, 426, 3, 3, 312
529, 429, 3, 3, 312
532, 432, 3, 3, 312
535, 435, 3, 3, 312
538, 438, 3, 3, 312
541, 441, 3, 3, 312
544, 444, 3, 3, 312
547, 447, 3, 3, 312
550, 450, 3, 3, 312
553, 453, 3, 3, 312
556, 456, 3, 3, 312
559, 459, 3, 3, 312
562, 462, 3, 3, 312
565, 465, 3, 3, 312
568, 468, 3, 3, 312
571, 471, 3, 3, 312
574, 474, 3, 3, 312
577, 477, 3, 3, 312
580, 480, 3, 3, 312
583, 483, 3, 3, 312
586, 486, 3, 3, 312
589, 489, 3, 3, 312
592, 492, 3, 3, 312
595, 495, 3, 3, 312
598, 498, 3, 3, 312
601, 501, 3, 3, 312
604, 504, 3, 3, 312
607, 507, 3, 3, 312
610, 510, 3, 3, 312
613, 513, 3, 3, 312
616, 516, 3, 3, 312
619, 519, 3, 3, 312
622, 522, 3, 3, 312
625, 525, 3, 3, 312
628, 528, 3, 3, 312
631, 531, 3, 3, 312
634, 534, 3, 3, 312
637, 537, 3, 3, 312
640, 540, 3, 3, 312
643, 543, 3, 3, 312
646, 546, 3, 3, 312
649, 549, 3, 3, 312
652, 552, 3, 3, 312
655, 555, 3, 3, 312
658, 558, 3, 3, 312
661, 561, 3, 3, 312
664, 564, 3, 3, 312
667, 567, 3, 3, 312
670, 570, 3, 3, 312
673, 573, 3, 3, 312
676, 576, 3, 3, 312
679, 579, 3, 3, 312
682, 582, 3, 3, 312
685, 579, 3, -3, 312
688, 576, 3, -3, 312
691, 573, 3, -3, 312
694, 570, 3, -3, 312
697, 567, 3, -3, 312
700, 564, 3, -3, 312
703, 561, 3, -3, 312
706, 558, 3, -3, 312
709, 555, 3, -3, 312
712, 552, 3, -3, 312
715, 549, 3, -3, 312
718, 546, 3, -3, 312
721, 543, 3, -3, 312
724, 540, 3, -3, 312
727, 537, 3, -3, 312
730, 534, 3, -3, 312
733, 531, 3, -3, 312
736, 528, 3, -3, 312
739, 525, 3, -3, 312
742, 522, 3, -3, 312
745, 519, 3, -3, 312
748, 516, 3, -3, 312
751, 513, 3, -3, 312
754, 510, 3, -3, 312
757, 507, 3, -3, 312
760, 504, 3, -3, 312
763, 501, 3, -3, 312
766, 498, 3, -3, 312
769, 495, 3, -3, 312
772, 492, 3, -3, 312
775, 489, 3, -3, 312
778, 486, 3, -3, 312
781, 483, 3, -3, 312
778, 480, -3, -3, 312
775, 477, -3, -3, 312
772, 474, -3, -3, 312
769, 471, -3, -3, 312
766, 468, -3, -3, 312
763, 465, -3, -3, 312
760, 462, -3, -3, 312
757, 459, -3, -3, 312
754, 456, -3, -3, 312
751, 453, -3, -3, 312
748, 450, -3, -3, 312
745, 447, -3, -3, 312
742, 444, -3, -3, 312
739, 441, -3, -3, 312
736, 438, -3, -3, 312
733, 435, -3, -3, 312
730, 432, -3, -3, 312
727, 429, -3, -3, 312
724, 426, -3, -3, 312
721, 423, -3, -3, 312
718, 420, -3, -3, 312
715, 417, -3, -3, 312
712, 414, -3, -3, 312
709, 411, -3, -3, 312
706, 408, -3, -3, 312
703, 405, -3, -3, 312
700, 402, -3, -3, 312
697, 399, -3, -3, 312
694, 396, -3, -3, 312
691, 393, -3, -3, 312
688, 390, -3, -3, 312
685, 387, -3, -3, 312
682, 384, -3, -3, 312
679, 381, -3, -3, 312
676, 378, -3, -3, 312
673, 375, -3, -3, 312
670, 372, -3, -3, 312
667, 369, -3, -3, 312
664, 366, -3, -3, 312
661, 363, -3, -3, 312
658, 360, -3, -3, 312
655, 357, -3, -3, 312
652, 354, -3, -3, 312
649, 351, -3, -3, 312
646, 348, -3, -3, 312
643, 345, -3, -3, 312
640, 342, -3, -3, 312
637, 339, -3, -3, 312
634, 336, -3, -3, 312
631, 333, -3, -3, 312
628, 330, -3, -3, 312
625, 327, -3, -3, 312
622, 324, -3, -3, 312
619, 321, -3, -3, 312
616, 318, -3, -3, 312
613, 315, -3, -3, 312
610, 312, -3, -3, 312
607, 309, -3, -3, 312
604, 306, -3, -3, 312
601, 303, -3, -3, 312
598, 300, -3, -3, 312
595, 297, -3, -3, 312
592, 294, -3, -3, 312
589, 291, -3, -3, 312
586, 288, -3, -3, 312
583, 285, -3, -3, 312
580, 282, -3, -3, 312
577, 279, -3, -3, 312
574, 276, -3, -3, 312
571, 273, -3, -3, 312
568, 270, -3, -3, 312
565, 267, -3, -3, 312
562, 264, -3, -3, 312
559, 261, -3, -3, 312
556, 258, -3, -3, 312
553, 255, -3, -3, 312
550, 252, -3, -3, 312
547, 249, -3, -3, 312
544, 246, -3, -3, 312
541, 243, -3, -3, 312
538, 240, -3, -3, 312
535, 237, -3, -3, 312
532, 234, -3, -3, 312
529, 231, -3, -3, 312
526, 228, -3, -3, 312
523, 225, -3, -3, 312
520, 222, -3, -3, 312
517, 219, -3, -3, 312
514, 216, -3, -3, 312
511, 213, -3, -3, 312
508, 210, -3, -3, 312
505, 207, -3, -3, 312
502, 204, -3, -3, 312
499, 201, -3, -3, 312
496, 198, -3, -3, 312
493, 195, -3, -3, 312
490, 192, -3, -3, 312
487, 189, -3, -3, 312
484, 186, -3, -3, 312
481, 183, -3, -3, 312
478, 180, -3, -3, 312
475, 177, -3, -3, 312
472, 174, -3, -3, 312
469, 171, -3, -3, 312
466, 168, -3, -3, 312
463, 165, -3, -3, 312
460, 162, -3, -3, 312
457, 159, -3, -3, 312
454, 156, -3, -3, 312
451, 153, -3, -3, 312
448, 150, -3, -3, 312
445, 147, -3, -3, 312
442, 144, -3, -3, 312
439, 141, -3, -3, 312
436, 138, -3, -3, 312
433, 135, -3, -3, 312
430, 132, -3, -3, 312
427, 129, -3, -3, 312
424, 126, -3, -3, 312
421, 123, -3, -3, 312
418, 120, -3, -3, 312
415, 117, -3, -3, 312
412, 114, -3, -3, 312
409, 111, -3, -3, 312
406, 108, -3, -3, 312
403, 105, -3, -3, 312
400, 102, -3, -3, 312
397, 99, -3, -3, 312
394, 96, -3, -3, 312
391, 93, -3, -3, 312
388, 90, -3, -3, 312
385, 87, -3, -3, 312
382, 84, -3, -3, 312
379, 81, -3, -3, 312
376, 78, -3, -3, 312
373, 75, -3, -3, 312
370, 72, -3, -3, 312
367, 69, -3, -3, 312
364, 66, -3, -3, 312
361, 63, -3, -3, 312
358, 60, -3, -3, 312
355, 57, -3, -3, 312
352, 54, -3, -3, 312
349, 51, -3, -3, 312
346, 48, -3, -3, 312
343, 45, -3, -3, 312
340, 42, -3, -3, 312
337, 39, -3, -3, 312
334, 36, -3, -3, 312
331, 33, -3, -3, 312
328, 30, -3, -3, 312
325, 27, -3, -3, 312
322, 24, -3, -3, 312
319, 21, -3, -3, 312
316, 18, -3, -3, 312
313, 21, -3, 3, 312
310, 24, -3, 3, 312
307, 27, -3, 3, 312
304, 30, -3, 3, 312
301, 33, -3, 3, 312
298, 36, -3, 3, 312
295, 39, -3, 3, 312
292, 42, -3, 3, 312
289, 45, -3, 3, 312
286, 48, -3, 3, 312
283, 51, -3, 3, 312
280, 54, -3, 3, 312
277, 57, -3, 3, 312
274, 60, -3, 3, 312
271, 63, -3, 3, 312
268, 66, -3, 3, 312
265, 69, -3, 3, 312
262, 72, -3, 3, 312
259, 75, -3, 3, 312
256, 78, -3, 3, 312
253, 81, -3, 3, 312
250, 84, -3, 3, 312
247, 87, -3, 3, 312
244, 90, -3, 3, 312
241, 93, -3, 3, 312
238, 96, -3, 3, 312
235, 99, -3, 3, 312
232, 102, -3, 3, 312
229, 105, -3, 3, 312
226, 108, -3, 3, 312
223, 111, -3, 3, 312
220, 114, -3, 3, 312
217, 117, -3, 3, 312
214, 120, -3, 3, 312
211, 123, -3, 3, 312
208, 126, -3, 3, 312
205, 129, -3, 3, 312
202, 132, -3, 3, 312
199, 135, -3, 3, 312
196, 138, -3, 3, 312
193, 141, -3, 3, 312
190, 144, -3, 3, 312
187, 147, -3, 3, 312
184, 150, -3, 3, 312
181, 153, -3, 3, 312
178, 156, -3, 3, 312
175, 159, -3, 3, 312
172, 162, -3, 3, 312
169, 165, -3, 3, 312
166, 168, -3, 3, 312
163, 171, -3, 3, 312
160, 174, -3, 3, 312
157, 177, -3, 3, 312
154, 180, -3, 3, 312
151, 183, -3, 3, 312
148, 186, -3, 3, 312
145, 189, -3, 3, 312
142, 192, -3, 3, 312
139, 195, -3, 3, 312
136, 198, -3, 3, 312
133, 201, -3, 3, 312
130, 204, -3, 3, 312
127, 207, -3, 3, 312
124, 210, -3, 3, 312
121, 213, -3, 3, 312
118, 216, -3, 3, 312
115, 219, -3, 3, 312
112, 222, -3, 3, 312
109, 225, -3, 3, 312
106, 228, -3, 3, 312
103, 231, -3, 3, 312
100, 234, -3, 3, 312
97, 237, -3, 3, 312
94, 240, -3, 3, 312
91, 243, -3, 3, 312
88, 246, -3, 3, 312
85, 249, -3, 3, 312
82, 252, -3, 3, 312
79, 255, -3, 3, 312
76, 258, -3, 3, 312
73, 261, -3, 3, 312
70, 264, -3, 3, 312
67, 267, -3, 3, 312
